date,state,location,id,year,month,day,population,tot_case,tot_vaccine,covid_rate,avg_vaccine
2020-12-14,Alaska,AK,2,2020,12,14,733391,40604,0,0.055364737227481656,0.0
2020-12-15,Alaska,AK,2,2020,12,15,733391,40876,0,0.055735617153742,0.0
2020-12-16,Alaska,AK,2,2020,12,16,733391,41487,0,0.05656873345868711,0.0
2020-12-17,Alaska,AK,2,2020,12,17,733391,41847,2,0.057059603949325806,2.7270582813260593e-06
2020-12-18,Alaska,AK,2,2020,12,18,733391,42334,2,0.0577236426408287,2.7270582813260593e-06
2020-12-19,Alaska,AK,2,2020,12,19,733391,42659,1607,0.05816678961154418,0.0021911913290454887
2020-12-20,Alaska,AK,2,2020,12,20,733391,42839,4239,0.05841222485686353,0.005780000027270583
2020-12-21,Alaska,AK,2,2020,12,21,733391,42987,5125,0.05861402716968166,0.006988086845898027
2020-12-22,Alaska,AK,2,2020,12,22,733391,43424,5615,0.0592098894041514,0.007656216124822912
2020-12-23,Alaska,AK,2,2020,12,23,733391,43786,6822,0.05970348695307142,0.009301995797603189
2020-12-24,Alaska,AK,2,2020,12,24,733391,44057,8578,0.0600730033501911,0.011696352968607469
2020-12-25,Alaska,AK,2,2020,12,25,733391,44206,10612,0.06027616919214989,0.014469771240716071
2020-12-26,Alaska,AK,2,2020,12,26,733391,44394,11427,0.06053251267059454,0.01558104749035644
2020-12-27,Alaska,AK,2,2020,12,27,733391,44702,11427,0.06095247964591875,0.01558104749035644
2020-12-28,Alaska,AK,2,2020,12,28,733391,44826,11647,0.06112155725936097,0.015881023901302308
2020-12-29,Alaska,AK,2,2020,12,29,733391,45033,11780,0.061403807791478214,0.01606237327701049
2020-12-30,Alaska,AK,2,2020,12,30,733391,45399,12907,0.06190285945696088,0.017599070618537722
2020-12-31,Alaska,AK,2,2020,12,31,733391,45771,14550,0.06241009229728753,0.01983934899664708
2021-01-01,Alaska,AK,2,2021,1,1,733391,46241,16504,0.06305095099339915,0.02250368493750264
2021-01-02,Alaska,AK,2,2021,1,2,733391,46530,18401,0.06344501091505077,0.02509029971734041
2021-01-03,Alaska,AK,2,2021,1,3,733391,46698,18684,0.06367408381068217,0.025476178464148045
2021-01-04,Alaska,AK,2,2021,1,4,733391,46912,18937,0.06396587904678405,0.025821151336735793
2021-01-05,Alaska,AK,2,2021,1,5,733391,47121,19050,0.06425085663718262,0.025975230129630714
2021-01-06,Alaska,AK,2,2021,1,6,733391,47461,20106,0.06471445654500806,0.027415116902170876
2021-01-07,Alaska,AK,2,2021,1,7,733391,47798,21830,0.06517396586541149,0.02976584114067394
2021-01-08,Alaska,AK,2,2021,1,8,733391,48197,24562,0.06571801399253605,0.033491002752965335
2021-01-09,Alaska,AK,2,2021,1,9,733391,48571,28539,0.06622797389114402,0.038913758145382206
2021-01-10,Alaska,AK,2,2021,1,10,733391,48819,33263,0.06656612911802845,0.04535506980587436
