date,state,location,population,covid_rate,year,month,day,Series_Complete_Pop_Pct,age>=12,age>=18,age>=65,Janssen_num,Moderna_num,Pfizer_num
2021-04-23,Kentucky,KY,4505836,0.09799069473456203,2021,4,23,0.294,0.0,0.37799999999999995,0.672,103346,567658,642571
2021-04-24,Kentucky,KY,4505836,0.09809766711438232,2021,4,24,0.299,0.0,0.384,0.677,103591,576954,655648
2021-04-25,Kentucky,KY,4505836,0.09817379061288516,2021,4,25,0.303,0.0,0.39,0.6809999999999999,103704,584556,666604
2021-04-26,Kentucky,KY,4505836,0.09821706782048881,2021,4,26,0.306,0.0,0.39299999999999996,0.682,103799,587376,674208
2021-04-27,Kentucky,KY,4505836,0.09837464124304568,2021,4,27,0.307,0.0,0.39399999999999996,0.6829999999999999,103805,588522,677089
2021-04-28,Kentucky,KY,4505836,0.09852466889607167,2021,4,28,0.31,0.0,0.39799999999999996,0.6859999999999999,103979,593220,686008
2021-04-29,Kentucky,KY,4505836,0.0986662630419749,2021,4,29,0.313,0.0,0.402,0.6890000000000001,104344,599024,696608
2021-04-30,Kentucky,KY,4505836,0.09880852299107203,2021,4,30,0.318,0.0,0.408,0.693,104974,607538,708218
2021-05-01,Kentucky,KY,4505836,0.09893014304115817,2021,5,1,0.322,0.0,0.413,0.6970000000000001,106159,614690,716746
2021-05-02,Kentucky,KY,4505836,0.09900560073646711,2021,5,2,0.325,0.0,0.41600000000000004,0.6990000000000001,106932,621397,721195
2021-05-03,Kentucky,KY,4505836,0.09905287276323417,2021,5,3,0.325,0.0,0.41700000000000004,0.6990000000000001,107054,621989,722528
2021-05-04,Kentucky,KY,4505836,0.09920423202264796,2021,5,4,0.326,0.0,0.418,0.7,107098,623508,725493
2021-05-05,Kentucky,KY,4505836,0.09935137452850037,2021,5,5,0.32899999999999996,0.0,0.42100000000000004,0.7020000000000001,107770,627161,733364
2021-05-06,Kentucky,KY,4505836,0.0994860887080666,2021,5,6,0.33299999999999996,0.0,0.426,0.706,108808,633509,744718
2021-05-07,Kentucky,KY,4505836,0.09961614226527553,2021,5,7,0.336,0.0,0.431,0.7090000000000001,109844,638448,754677
2021-05-08,Kentucky,KY,4505836,0.09972000756352428,2021,5,8,0.34,0.0,0.435,0.711,111172,644950,761562
2021-05-09,Kentucky,KY,4505836,0.0997710524750568,2021,5,9,0.344,0.0,0.44,0.7140000000000001,112565,652582,769865
2021-05-10,Kentucky,KY,4505836,0.09980833745391532,2021,5,10,0.34600000000000003,0.0,0.44299999999999995,0.716,113064,657081,775618
2021-05-11,Kentucky,KY,4505836,0.09991930465289904,2021,5,11,0.349,0.0,0.446,0.718,118415,660751,779399
2021-05-12,Kentucky,KY,4505836,0.1000429221125669,2021,5,12,0.35100000000000003,0.0,0.449,0.72,119497,665214,784588
2021-05-13,Kentucky,KY,4505836,0.10016720537542867,2021,5,13,0.354,0.415,0.452,0.722,120711,669518,789792
2021-05-14,Kentucky,KY,4505836,0.10026796359210588,2021,5,14,0.35600000000000004,0.418,0.455,0.7240000000000001,121997,675021,793856
2021-05-15,Kentucky,KY,4505836,0.10035252059773148,2021,5,15,0.359,0.42100000000000004,0.45899999999999996,0.726,123255,681395,798601
2021-05-16,Kentucky,KY,4505836,0.10039712941172294,2021,5,16,0.36200000000000004,0.425,0.462,0.7290000000000001,124791,687823,803697
2021-05-17,Kentucky,KY,4505836,0.10043574599696926,2021,5,17,0.363,0.426,0.46399999999999997,0.7290000000000001,125269,689657,805654
2021-05-18,Kentucky,KY,4505836,0.10055048608071843,2021,5,18,0.364,0.42700000000000005,0.465,0.73,125755,691558,807002
2021-05-19,Kentucky,KY,4505836,0.1006570145917428,2021,5,19,0.366,0.429,0.467,0.731,126962,695508,810741
2021-05-20,Kentucky,KY,4505836,0.10075422185805254,2021,5,20,0.368,0.43200000000000005,0.469,0.733,128356,698784,814961
2021-05-21,Kentucky,KY,4505836,0.1008416640108517,2021,5,21,0.37,0.434,0.47200000000000003,0.735,130291,702717,819290
2021-05-22,Kentucky,KY,4505836,0.10091046367422161,2021,5,22,0.373,0.43700000000000006,0.475,0.737,132292,708187,823487
2021-05-23,Kentucky,KY,4505836,0.10095928924177444,2021,5,23,0.374,0.439,0.478,0.7390000000000001,133818,711515,826400
2021-05-24,Kentucky,KY,4505836,0.10098703104152038,2021,5,24,0.375,0.44,0.479,0.7390000000000001,134449,713689,827844
2021-05-25,Kentucky,KY,4505836,0.10106959063756427,2021,5,25,0.376,0.441,0.479,0.74,134820,714569,829088
2021-05-26,Kentucky,KY,4505836,0.10114682380805692,2021,5,26,0.377,0.44299999999999995,0.48200000000000004,0.741,136234,717745,831766
2021-05-27,Kentucky,KY,4505836,0.10122028409378415,2021,5,27,0.379,0.445,0.484,0.742,137256,721229,835683
2021-05-28,Kentucky,KY,4505836,0.10128442313479674,2021,5,28,0.381,0.447,0.486,0.7440000000000001,138356,724496,837666
2021-05-29,Kentucky,KY,4505836,0.10134523315983981,2021,5,29,0.382,0.449,0.488,0.745,139529,728139,840446
2021-05-30,Kentucky,KY,4505836,0.10137253109078981,2021,5,30,0.384,0.451,0.49,0.747,140871,731629,843109
2021-05-31,Kentucky,KY,4505836,0.101398497415352,2021,5,31,0.385,0.452,0.491,0.747,141474,733163,844481
2021-06-01,Kentucky,KY,4505836,0.10142668308389387,2021,6,1,0.385,0.452,0.491,0.747,141724,733809,845148
2021-06-02,Kentucky,KY,4505836,0.10148682730574304,2021,6,2,0.386,0.45299999999999996,0.49200000000000005,0.748,141862,734543,845591
2021-06-03,Kentucky,KY,4505836,0.10154497411801051,2021,6,3,0.387,0.45399999999999996,0.493,0.7490000000000001,142677,737237,848482
2021-06-04,Kentucky,KY,4505836,0.10160467447106375,2021,6,4,0.38799999999999996,0.456,0.495,0.75,143704,740151,850255
2021-06-05,Kentucky,KY,4505836,0.10164506653149383,2021,6,5,0.38799999999999996,0.456,0.495,0.75,143765,740408,850368
2021-06-06,Kentucky,KY,4505836,0.10165128069463691,2021,6,6,0.392,0.46,0.498,0.753,145489,746248,857659
2021-06-07,Kentucky,KY,4505836,0.10166126774254544,2021,6,7,0.39299999999999996,0.461,0.5,0.754,145895,747970,861476
2021-06-08,Kentucky,KY,4505836,0.10176624271278405,2021,6,8,0.39399999999999996,0.462,0.5,0.754,146132,748743,864766
2021-06-09,Kentucky,KY,4505836,0.10182350178745964,2021,6,9,0.395,0.46399999999999997,0.501,0.755,146729,750124,867886
2021-06-10,Kentucky,KY,4505836,0.10187365896140028,2021,6,10,0.39799999999999996,0.467,0.504,0.757,147889,753247,874490
2021-06-11,Kentucky,KY,4505836,0.10191982131617751,2021,6,11,0.39799999999999996,0.467,0.504,0.757,148007,753524,874812
2021-06-12,Kentucky,KY,4505836,0.10196909075252628,2021,6,12,0.401,0.47100000000000003,0.507,0.76,148994,757375,884133
2021-06-13,Kentucky,KY,4505836,0.10198862097954742,2021,6,13,0.40299999999999997,0.473,0.509,0.762,150084,759759,891669
2021-06-14,Kentucky,KY,4505836,0.10200903894416041,2021,6,14,0.408,0.479,0.515,0.7659999999999999,151968,767611,903827
2021-06-15,Kentucky,KY,4505836,0.1020609715932848,2021,6,15,0.41,0.48100000000000004,0.516,0.7659999999999999,152379,770044,908421
2021-06-16,Kentucky,KY,4505836,0.1021093532920417,2021,6,16,0.41,0.48100000000000004,0.516,0.7659999999999999,152413,770093,908504
2021-06-17,Kentucky,KY,4505836,0.10215285243404332,2021,6,17,0.41600000000000004,0.488,0.523,0.7709999999999999,154383,779856,922517
2021-06-18,Kentucky,KY,4505836,0.10219391029766729,2021,6,18,0.418,0.49,0.524,0.772,155014,782616,928037
2021-06-19,Kentucky,KY,4505836,0.10222831012935224,2021,6,19,0.42,0.493,0.526,0.773,155750,785934,932708
2021-06-20,Kentucky,KY,4505836,0.10224939389715915,2021,6,20,0.42100000000000004,0.494,0.528,0.774,156384,788186,935166
2021-06-21,Kentucky,KY,4505836,0.10226315382983313,2021,6,21,0.42200000000000004,0.495,0.529,0.774,156795,790217,937867
2021-06-22,Kentucky,KY,4505836,0.10230709684063069,2021,6,22,0.423,0.496,0.529,0.775,157007,791227,939866
2021-06-23,Kentucky,KY,4505836,0.10234904244184653,2021,6,23,0.424,0.49700000000000005,0.53,0.775,157561,792927,941193
2021-06-24,Kentucky,KY,4505836,0.10239187578065424,2021,6,24,0.425,0.499,0.532,0.777,158230,795180,945221
2021-06-25,Kentucky,KY,4505836,0.10243382138187009,2021,6,25,0.426,0.5,0.5329999999999999,0.778,158897,796990,948186
2021-06-26,Kentucky,KY,4505836,0.10246755541036114,2021,6,26,0.428,0.502,0.535,0.779,159542,799434,951696
2021-06-27,Kentucky,KY,4505836,0.10248597596539244,2021,6,27,0.43,0.505,0.537,0.7809999999999999,160320,803579,957623
2021-06-28,Kentucky,KY,4505836,0.10250528425801561,2021,6,28,0.433,0.509,0.541,0.7829999999999999,160624,808926,966309
2021-06-29,Kentucky,KY,4505836,0.1025549975631603,2021,6,29,0.434,0.509,0.542,0.7829999999999999,160738,809590,967448
2021-06-30,Kentucky,KY,4505836,0.10260715214668266,2021,6,30,0.435,0.51,0.5429999999999999,0.784,161158,810617,970055
2021-07-01,Kentucky,KY,4505836,0.10264998548549037,2021,7,1,0.436,0.512,0.544,0.784,161743,812121,973002
2021-07-02,Kentucky,KY,4505836,0.10269082141471639,2021,7,2,0.43700000000000006,0.513,0.545,0.785,162225,813508,975560
2021-07-03,Kentucky,KY,4505836,0.10273543022870783,2021,7,3,0.43799999999999994,0.514,0.546,0.7859999999999999,162863,815212,977789
2021-07-04,Kentucky,KY,4505836,0.10276139655327003,2021,7,4,0.439,0.515,0.547,0.7859999999999999,163266,816617,980266
2021-07-05,Kentucky,KY,4505836,0.10278248032107694,2021,7,5,0.439,0.516,0.547,0.787,163470,817512,981646
2021-07-06,Kentucky,KY,4505836,0.10281199759600661,2021,7,6,0.44,0.516,0.5479999999999999,0.787,163523,817948,982495
2021-07-07,Kentucky,KY,4505836,0.10289544492964235,2021,7,7,0.44,0.517,0.5479999999999999,0.787,163662,818511,983214
2021-07-08,Kentucky,KY,4505836,0.10296513233060413,2021,7,8,0.441,0.518,0.5489999999999999,0.7879999999999999,163993,819932,985580
2021-07-09,Kentucky,KY,4505836,0.10305235254900534,2021,7,9,0.442,0.519,0.55,0.7879999999999999,164375,821190,987528
2021-07-10,Kentucky,KY,4505836,0.10312980765389597,2021,7,10,0.44299999999999995,0.52,0.551,0.789,164909,822591,989497
2021-07-11,Kentucky,KY,4505836,0.10318040869663254,2021,7,11,0.444,0.521,0.552,0.79,165510,824670,992372
2021-07-12,Kentucky,KY,4505836,0.10322279816664433,2021,7,12,0.444,0.521,0.552,0.79,165573,824791,992585
2021-07-13,Kentucky,KY,4505836,0.10333309956243414,2021,7,13,0.444,0.522,0.552,0.79,165678,825230,993563
2021-07-14,Kentucky,KY,4505836,0.10346781374200037,2021,7,14,0.445,0.522,0.5529999999999999,0.79,166129,826109,995190
2021-07-15,Kentucky,KY,4505836,0.10359342861124994,2021,7,15,0.446,0.523,0.5539999999999999,0.7909999999999999,166552,827292,997203
2021-07-16,Kentucky,KY,4505836,0.10371948734929545,2021,7,16,0.447,0.524,0.555,0.7909999999999999,166885,828523,998871
2021-07-17,Kentucky,KY,4505836,0.10384776543132063,2021,7,17,0.447,0.525,0.556,0.792,167316,829874,1000571
2021-07-18,Kentucky,KY,4505836,0.10392743988019093,2021,7,18,0.44799999999999995,0.526,0.556,0.792,167634,830991,1002110
2021-07-19,Kentucky,KY,4505836,0.10400800206665312,2021,7,19,0.44799999999999995,0.526,0.557,0.792,167762,831638,1003232
2021-07-20,Kentucky,KY,4505836,0.10419420502654779,2021,7,20,0.44799999999999995,0.526,0.557,0.792,167414,831643,1003454
2021-07-21,Kentucky,KY,4505836,0.10441724909650507,2021,7,21,0.449,0.527,0.5579999999999999,0.7929999999999999,167828,832813,1005365
2021-07-22,Kentucky,KY,4505836,0.10463274739693144,2021,7,22,0.45,0.528,0.5579999999999999,0.7929999999999999,168346,833759,1007217
2021-07-23,Kentucky,KY,4505836,0.10484047799342897,2021,7,23,0.451,0.529,0.5589999999999999,0.794,168869,834810,1009337
2021-07-24,Kentucky,KY,4505836,0.10507728199606022,2021,7,24,0.451,0.53,0.56,0.795,169413,835879,1010726
2021-07-25,Kentucky,KY,4505836,0.10519890204614638,2021,7,25,0.452,0.531,0.561,0.795,169898,836870,1012298
2021-07-26,Kentucky,KY,4505836,0.10535936061587683,2021,7,26,0.45299999999999996,0.531,0.561,0.795,170032,837553,1013253
2021-07-27,Kentucky,KY,4505836,0.10565297982438775,2021,7,27,0.45299999999999996,0.531,0.561,0.795,170100,837912,1013971
2021-07-28,Kentucky,KY,4505836,0.10600385810757426,2021,7,28,0.45299999999999996,0.532,0.562,0.7959999999999999,170513,838742,1014758
2021-07-29,Kentucky,KY,4505836,0.10638070271532298,2021,7,29,0.45399999999999996,0.5329999999999999,0.563,0.7959999999999999,170955,839840,1017573
2021-07-30,Kentucky,KY,4505836,0.10675643765108184,2021,7,30,0.455,0.534,0.564,0.797,171637,840926,1018959
2021-07-31,Kentucky,KY,4505836,0.10709777275515575,2021,7,31,0.456,0.535,0.564,0.797,172286,841899,1020439
2021-08-01,Kentucky,KY,4505836,0.10732503357867441,2021,8,1,0.457,0.537,0.5660000000000001,0.7979999999999999,173180,844337,1024373
2021-08-02,Kentucky,KY,4505836,0.1075889135778577,2021,8,2,0.45799999999999996,0.537,0.5670000000000001,0.799,173380,845031,1025513
2021-08-03,Kentucky,KY,4505836,0.1080210198507003,2021,8,3,0.45799999999999996,0.5379999999999999,0.5670000000000001,0.799,173451,845332,1026649
2021-08-04,Kentucky,KY,4505836,0.10860004669499733,2021,8,4,0.45899999999999996,0.539,0.568,0.799,173942,845989,1028955
2021-08-05,Kentucky,KY,4505836,0.10909496040246472,2021,8,5,0.46,0.539,0.569,0.8,174538,846885,1030774
2021-08-06,Kentucky,KY,4505836,0.10968574976985403,2021,8,6,0.46,0.54,0.569,0.8,175114,847790,1032842
2021-08-07,Kentucky,KY,4505836,0.11022394068492507,2021,8,7,0.462,0.542,0.5710000000000001,0.8009999999999999,176482,849586,1036386
2021-08-08,Kentucky,KY,4505836,0.11058702535999979,2021,8,8,0.462,0.542,0.5710000000000001,0.8009999999999999,176526,849746,1036763
2021-08-09,Kentucky,KY,4505836,0.11091504440019566,2021,8,9,0.46299999999999997,0.5429999999999999,0.5720000000000001,0.802,176793,850504,1038519
2021-08-10,Kentucky,KY,4505836,0.11147076813270612,2021,8,10,0.46299999999999997,0.5429999999999999,0.5720000000000001,0.802,176893,850947,1039757
2021-08-11,Kentucky,KY,4505836,0.1121878381725389,2021,8,11,0.46399999999999997,0.544,0.573,0.802,177451,851677,1041355
2021-08-12,Kentucky,KY,4505836,0.11295328991112859,2021,8,12,0.46399999999999997,0.545,0.573,0.8029999999999999,178141,852460,1043288
2021-08-13,Kentucky,KY,4505836,0.11370098689788088,2021,8,13,0.465,0.546,0.574,0.8029999999999999,178775,853464,1046118
2021-08-14,Kentucky,KY,4505836,0.11432284708098564,2021,8,14,0.467,0.5479999999999999,0.5760000000000001,0.804,179478,854646,1049216
2021-08-15,Kentucky,KY,4505836,0.11490831002282373,2021,8,15,0.467,0.5489999999999999,0.5770000000000001,0.805,179932,855552,1052053
2021-08-16,Kentucky,KY,4505836,0.1153610561946773,2021,8,16,0.46799999999999997,0.55,0.5770000000000001,0.805,180088,856426,1054467
2021-08-17,Kentucky,KY,4505836,0.11617400189443203,2021,8,17,0.469,0.55,0.578,0.805,180590,856698,1056267
2021-08-18,Kentucky,KY,4505836,0.11709680512118062,2021,8,18,0.47,0.551,0.579,0.8059999999999999,181080,857615,1059233
2021-08-19,Kentucky,KY,4505836,0.11821224740536496,2021,8,19,0.47100000000000003,0.5529999999999999,0.58,0.807,181592,858939,1062385
2021-08-20,Kentucky,KY,4505836,0.1191470350896038,2021,8,20,0.47200000000000003,0.5539999999999999,0.581,0.807,182279,860379,1065744
2021-08-21,Kentucky,KY,4505836,0.12001746179843208,2021,8,21,0.475,0.557,0.584,0.809,183442,863287,1072345
2021-08-22,Kentucky,KY,4505836,0.12069524944982463,2021,8,22,0.47600000000000003,0.5579999999999999,0.585,0.809,183615,864493,1075890
2021-08-23,Kentucky,KY,4505836,0.12127738337569322,2021,8,23,0.47600000000000003,0.5589999999999999,0.585,0.81,183642,864802,1076512
2021-08-24,Kentucky,KY,4505836,0.12226277210266863,2021,8,24,0.47700000000000004,0.5589999999999999,0.586,0.81,183710,865515,1078710
2021-08-25,Kentucky,KY,4505836,0.12347320230918303,2021,8,25,0.478,0.561,0.5870000000000001,0.81,184305,866856,1081958
2021-08-26,Kentucky,KY,4505836,0.12474488640953643,2021,8,26,0.479,0.562,0.588,0.8109999999999999,184831,868639,1085483
2021-08-27,Kentucky,KY,4505836,0.1259426663553667,2021,8,27,0.48,0.564,0.59,0.812,185288,870452,1089406
2021-08-28,Kentucky,KY,4505836,0.12696312071722096,2021,8,28,0.48200000000000004,0.5660000000000001,0.591,0.813,186017,872350,1093585
2021-08-29,Kentucky,KY,4505836,0.1277725154666082,2021,8,29,0.483,0.5670000000000001,0.593,0.8140000000000001,186535,874393,1097386
2021-08-30,Kentucky,KY,4505836,0.12840746977919304,2021,8,30,0.484,0.569,0.594,0.815,186692,876085,1100676
2021-08-31,Kentucky,KY,4505836,0.1294785251837839,2021,8,31,0.485,0.569,0.595,0.815,186717,877093,1102782
2021-09-01,Kentucky,KY,4505836,0.13067830253919582,2021,9,1,0.48700000000000004,0.5710000000000001,0.596,0.816,187325,878805,1106880
2021-09-02,Kentucky,KY,4505836,0.1320633951169106,2021,9,2,0.488,0.573,0.598,0.816,187746,880973,1110804
2021-09-03,Kentucky,KY,4505836,0.13328936073128272,2021,9,3,0.49,0.575,0.6,0.8170000000000001,188272,883222,1114769
2021-09-04,Kentucky,KY,4505836,0.13439126501719104,2021,9,4,0.491,0.5760000000000001,0.601,0.818,188872,885637,1117999
2021-09-05,Kentucky,KY,4505836,0.13519089465306772,2021,9,5,0.493,0.578,0.603,0.8190000000000001,189935,888050,1121849
2021-09-06,Kentucky,KY,4505836,0.13579189300276354,2021,9,6,0.494,0.579,0.604,0.82,190027,889580,1124639
2021-09-07,Kentucky,KY,4505836,0.13634695093208007,2021,9,7,0.494,0.58,0.605,0.82,190060,890398,1126266
2021-09-08,Kentucky,KY,4505836,0.13743065659735507,2021,9,8,0.495,0.581,0.605,0.82,190119,891287,1128054
